2026-03-30 21:49:12,703 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 14:51:04,845 | recv | /adm/obj/1/xyz | [-0.09758301824331284, 0.17369379103183746, 0.014776566997170448]
2026-04-06 14:51:15,828 | recv | /reward | [1.0]
2026-04-06 14:51:15,831 | recv | /adm/obj/101/xyz | [0.04409480839967728, 0.11164900660514832, -0.2815275490283966]
2026-04-06 14:51:15,840 | send | /adm/obj/1/xyz | [1.0, 1.0, 0.2556222379207611]
2026-04-06 14:51:15,844 | recv | /adm/obj/1/xyz | [1.0, 1.0, 0.2556222379207611]
2026-04-06 14:51:44,294 | recv | /reward | [0.800000011920929]
2026-04-06 14:51:44,295 | recv | /adm/obj/101/xyz | [-0.22380977869033813, -0.12218275666236877, -0.37780871987342834]
2026-04-06 14:51:44,306 | send | /adm/obj/1/xyz | [0.13424599170684814, -0.6895819902420044, -1.0]
2026-04-06 14:51:44,316 | recv | /adm/obj/1/xyz | [0.13424599170684814, -0.6895819902420044, -1.0]
2026-04-06 14:52:10,581 | recv | /adm/obj/1/xyz | [0.1340000033378601, -0.6899999976158142, -1.0]
2026-04-06 14:52:10,748 | recv | /adm/obj/1/xyz | [0.07400000095367432, -0.6899999976158142, -1.0]
2026-04-06 14:52:11,115 | recv | /adm/obj/1/xyz | [0.04399999976158142, -0.6899999976158142, -1.0]
2026-04-06 14:52:11,331 | recv | /adm/obj/1/xyz | [0.16200000047683716, -0.6899999976158142, -1.0]
2026-04-06 14:52:11,513 | recv | /adm/obj/1/xyz | [0.22200000286102295, -0.6899999976158142, -1.0]
2026-04-06 14:52:37,749 | recv | /reward | [-0.5]
2026-04-06 14:52:37,750 | recv | /adm/obj/101/xyz | [-0.26756998896598816, -0.2464144378900528, -0.3377194404602051]
2026-04-06 14:52:37,767 | send | /adm/obj/1/xyz | [1.0, 1.0, 0.26909998059272766]
2026-04-06 14:52:37,775 | recv | /adm/obj/1/xyz | [1.0, 1.0, 0.26909998059272766]
